epoch,step,train_loss_epoch,train_loss_step,val/mae,val/r2,val/rmse,val_loss
0,49,,0.8970036506652832,,,,
0,99,,1.1453807353973389,,,,
0,106,,,0.7531242966651917,-0.0021985769271850586,0.9822199940681458,0.964756190776825
0,106,1.0001510381698608,,,,,
1,149,,1.3079514503479004,,,,
1,199,,0.8186265230178833,,,,
1,213,,,0.7080727219581604,0.06114387512207031,0.9506735801696777,0.9037802219390869
1,213,0.9842557311058044,,,,,
2,249,,0.8819365501403809,,,,
2,299,,0.7575479745864868,,,,
2,320,,,0.6721197962760925,0.06181734800338745,0.9503325819969177,0.9031319618225098
2,320,0.9313177466392517,,,,,
3,349,,0.872707188129425,,,,
3,399,,0.925796389579773,,,,
3,427,,,0.6565561294555664,0.1826271414756775,0.8870375156402588,0.7868356108665466
3,427,0.8695268034934998,,,,,
4,449,,0.8382749557495117,,,,
4,499,,0.8297033309936523,,,,
4,534,,,0.6395769119262695,0.17256128787994385,0.8924827575683594,0.7965254187583923
4,534,0.7720549702644348,,,,,
5,549,,0.9335058331489563,,,,
5,599,,0.6315191388130188,,,,
5,641,,,0.6690211296081543,0.22379201650619507,0.8644123077392578,0.7472086548805237
5,641,0.7208971381187439,,,,,
6,649,,0.9544425010681152,,,,
6,699,,0.7411582469940186,,,,
6,748,,,0.640940248966217,0.2727581262588501,0.8367030024528503,0.7000719308853149
6,748,0.6696268320083618,,,,,
7,749,,0.6684775948524475,,,,
7,799,,0.5719410181045532,,,,
7,849,,0.6534223556518555,,,,
7,855,,,0.5997002124786377,0.3013479709625244,0.8200916051864624,0.6725502014160156
7,855,0.6351866126060486,,,,,
8,899,,0.4887535572052002,,,,
8,949,,1.0269213914871216,,,,
8,962,,,0.606123149394989,0.323164701461792,0.8071855902671814,0.6515485644340515
8,962,0.6030189990997314,,,,,
9,999,,0.5515658855438232,,,,
9,1049,,0.5652442574501038,,,,
9,1069,,,0.5705657601356506,0.3791739344596863,0.7730664610862732,0.5976318120956421
9,1069,0.5905304551124573,,,,,
10,1099,,0.8572090864181519,,,,
10,1149,,0.6065946817398071,,,,
10,1176,,,0.6219852566719055,0.324537456035614,0.8063666224479675,0.6502271294593811
10,1176,0.5625192523002625,,,,,
11,1199,,0.6418576240539551,,,,
11,1249,,0.6218105554580688,,,,
11,1283,,,0.5761821866035461,0.3852444291114807,0.7692776918411255,0.591788113117218
11,1283,0.5532522797584534,,,,,
12,1299,,0.7469414472579956,,,,
12,1349,,0.6988149285316467,,,,
12,1390,,,0.5550402402877808,0.40260136127471924,0.7583401203155518,0.5750796794891357
12,1390,0.5196992754936218,,,,,
13,1399,,0.3831035792827606,,,,
13,1449,,0.7112944722175598,,,,
13,1497,,,0.5437941551208496,0.4149400591850281,0.750467836856842,0.5632019639015198
13,1497,0.521470844745636,,,,,
14,1499,,0.6100488305091858,,,,
14,1549,,0.7208999395370483,,,,
14,1599,,0.39807286858558655,,,,
14,1604,,,0.556708574295044,0.41410964727401733,0.7510002255439758,0.5640013217926025
14,1604,0.49757567048072815,,,,,
15,1649,,0.34276676177978516,,,,
15,1699,,0.5919667482376099,,,,
15,1711,,,0.5414518117904663,0.44183528423309326,0.7330153584480286,0.5373115539550781
15,1711,0.4799615144729614,,,,,
16,1749,,0.3242194652557373,,,,
16,1799,,0.3213556110858917,,,,
16,1818,,,0.5412856936454773,0.44829869270324707,0.7287589311599731,0.5310896039009094
16,1818,0.46497824788093567,,,,,
17,1849,,0.6163886189460754,,,,
17,1899,,0.40225109457969666,,,,
17,1925,,,0.5658853650093079,0.4193892478942871,0.7476088404655457,0.5589190125465393
17,1925,0.46775609254837036,,,,,
18,1949,,0.37924209237098694,,,,
18,1999,,0.5524482727050781,,,,
18,2032,,,0.5525635480880737,0.4384964108467102,0.7352045178413391,0.5405256748199463
18,2032,0.44863855838775635,,,,,
19,2049,,0.3429723381996155,,,,
19,2099,,0.5427490472793579,,,,
19,2139,,,0.5152197480201721,0.46773993968963623,0.7158035635948181,0.5123746991157532
19,2139,0.440954327583313,,,,,
20,2149,,0.6031036376953125,,,,
20,2199,,0.3110376000404358,,,,
20,2246,,,0.5231043696403503,0.47659027576446533,0.7098274827003479,0.5038550496101379
20,2246,0.4259122908115387,,,,,
21,2249,,0.5711830854415894,,,,
21,2299,,0.46630948781967163,,,,
21,2349,,0.3289649188518524,,,,
21,2353,,,0.516530454158783,0.48176926374435425,0.7063069343566895,0.49886950850486755
21,2353,0.4275568723678589,,,,,
22,2399,,0.3627595901489258,,,,
