epoch,step,train_loss_epoch,train_loss_step,val/mae,val/r2,val/rmse,val_loss
0,49,,1.1583524942398071,,,,
0,99,,1.3032923936843872,,,,
0,119,,,0.7836413979530334,0.005665183067321777,1.0524042844772339,1.1075547933578491
0,119,0.9991294145584106,,,,,
1,149,,1.2017163038253784,,,,
1,199,,1.2044095993041992,,,,
1,239,,,0.7295968532562256,0.08692800998687744,1.0084835290908813,1.0170389413833618
1,239,0.9563716053962708,,,,,
2,249,,0.5428347587585449,,,,
2,299,,1.1618242263793945,,,,
2,349,,0.6252884864807129,,,,
2,359,,,0.6706328988075256,0.16682881116867065,0.9633484482765198,0.9280402064323425
2,359,0.8737338781356812,,,,,
3,399,,1.1747686862945557,,,,
3,449,,0.6594818234443665,,,,
3,479,,,0.6723931431770325,0.28697097301483154,0.8911890983581543,0.7942180633544922
3,479,0.794647216796875,,,,,
4,499,,0.5271849036216736,,,,
4,549,,0.5686255693435669,,,,
4,599,,0.6626490950584412,,,,
4,599,,,0.6440532803535461,0.33984309434890747,0.8575113415718079,0.7353256344795227
4,599,0.7243995070457458,,,,,
5,649,,0.7723982334136963,,,,
5,699,,0.6819278001785278,,,,
5,719,,,0.6277204751968384,0.3636665344238281,0.8418964147567749,0.7087895274162292
5,719,0.6754194498062134,,,,,
6,749,,0.9970875382423401,,,,
6,799,,0.4565091133117676,,,,
6,839,,,0.6163419485092163,0.39615434408187866,0.8201234936714172,0.6726025342941284
6,839,0.6597804427146912,,,,,
7,849,,0.6084066033363342,,,,
7,899,,0.4535484313964844,,,,
7,949,,0.39231401681900024,,,,
7,959,,,0.5933231711387634,0.425609827041626,0.7998706698417664,0.6397930979728699
7,959,0.6164467334747314,,,,,
8,999,,0.33816468715667725,,,,
8,1049,,0.29346439242362976,,,,
8,1079,,,0.573436975479126,0.439272940158844,0.7903000712394714,0.6245742440223694
8,1079,0.5959475040435791,,,,,
9,1099,,0.5240458250045776,,,,
9,1149,,0.6854170560836792,,,,
9,1199,,0.6901940703392029,,,,
9,1199,,,0.5816954970359802,0.4634970426559448,0.7730406522750854,0.5975918769836426
9,1199,0.5605006217956543,,,,,
10,1249,,0.42611464858055115,,,,
10,1299,,0.695792019367218,,,,
10,1319,,,0.5718065500259399,0.4749060869216919,0.7647769451141357,0.5848837494850159
10,1319,0.5458806157112122,,,,,
11,1349,,0.4763787090778351,,,,
11,1399,,0.566137433052063,,,,
11,1439,,,0.6235353946685791,0.4207717776298523,0.8032322525978088,0.6451820135116577
11,1439,0.524298906326294,,,,,
12,1449,,0.6020880341529846,,,,
12,1499,,0.5019040107727051,,,,
12,1549,,0.48043888807296753,,,,
12,1559,,,0.534773051738739,0.5266487002372742,0.7261194586753845,0.5272494554519653
12,1559,0.500758945941925,,,,,
13,1599,,0.5882773995399475,,,,
13,1649,,0.6580312252044678,,,,
13,1679,,,0.534922182559967,0.5256302356719971,0.7269001603126526,0.5283838510513306
13,1679,0.4915570914745331,,,,,
14,1699,,0.40440666675567627,,,,
14,1749,,0.47789639234542847,,,,
14,1799,,0.5051212310791016,,,,
14,1799,,,0.5415409207344055,0.5417481660842896,0.7144443392753601,0.5104306936264038
14,1799,0.47413909435272217,,,,,
15,1849,,0.34168651700019836,,,,
15,1899,,0.4553152322769165,,,,
15,1919,,,0.5378232598304749,0.5512377619743347,0.7070081830024719,0.499860554933548
15,1919,0.4547417163848877,,,,,
16,1949,,0.41858431696891785,,,,
16,1999,,0.32178884744644165,,,,
16,2039,,,0.5391952991485596,0.5457027554512024,0.7113549113273621,0.5060257911682129
16,2039,0.4447535574436188,,,,,
17,2049,,0.37804707884788513,,,,
17,2099,,0.30679091811180115,,,,
17,2149,,0.5425968170166016,,,,
17,2159,,,0.5173343420028687,0.5686419010162354,0.6931627988815308,0.48047468066215515
17,2159,0.4455711841583252,,,,,
18,2199,,0.33809182047843933,,,,
18,2249,,0.4011014401912689,,,,
18,2279,,,0.5137022733688354,0.5846234560012817,0.68020099401474,0.4626733958721161
18,2279,0.43035364151000977,,,,,
19,2299,,0.3329011797904968,,,,
19,2349,,0.4784536063671112,,,,
19,2399,,0.3966968059539795,,,,
19,2399,,,0.5091740489006042,0.587238073348999,0.6780568361282349,0.4597610831260681
19,2399,0.4252191185951233,,,,,
20,2449,,0.4032822847366333,,,,
20,2499,,0.491992324590683,,,,
20,2519,,,0.5079465508460999,0.594601571559906,0.6719815135002136,0.4515591263771057
20,2519,0.4139743447303772,,,,,
21,2549,,0.2791195809841156,,,,
21,2599,,0.36080238223075867,,,,
21,2639,,,0.5247901678085327,0.5766105651855469,0.6867303848266602,0.47159862518310547
21,2639,0.4026593267917633,,,,,
22,2649,,0.5193678140640259,,,,
22,2699,,0.21962426602840424,,,,
22,2749,,0.4550532102584839,,,,
22,2759,,,0.5086811780929565,0.5849579572677612,0.6799270510673523,0.4623008370399475
22,2759,0.3998916447162628,,,,,
23,2799,,0.588403046131134,,,,
23,2849,,0.3320658504962921,,,,
23,2879,,,0.5020152926445007,0.6000293493270874,0.6674678325653076,0.4455133378505707
23,2879,0.38998711109161377,,,,,
24,2899,,0.3273274600505829,,,,
24,2949,,0.37699660658836365,,,,
24,2999,,0.2899300158023834,,,,
24,2999,,,0.49496349692344666,0.6083205938339233,0.6605134010314941,0.43627798557281494
24,2999,0.38863512873649597,,,,,
25,3049,,0.2765066623687744,,,,
25,3099,,0.3417704403400421,,,,
25,3119,,,0.4890510141849518,0.6111335754394531,0.6581372618675232,0.4331446588039398
25,3119,0.37376612424850464,,,,,
26,3149,,0.331973135471344,,,,
26,3199,,0.44952821731567383,,,,
26,3239,,,0.5018141865730286,0.6048399209976196,0.6634417772293091,0.4401549696922302
26,3239,0.3716275691986084,,,,,
27,3249,,0.29549312591552734,,,,
27,3299,,0.23706936836242676,,,,
27,3349,,0.47156041860580444,,,,
27,3359,,,0.515822172164917,0.5832639932632446,0.6813132166862488,0.4641876816749573
27,3359,0.3681553900241852,,,,,
28,3399,,0.2803831696510315,,,,
28,3449,,0.27073755860328674,,,,
28,3479,,,0.49192526936531067,0.6154870986938477,0.6544429063796997,0.4282954931259155
28,3479,0.358360230922699,,,,,
29,3499,,0.3254573941230774,,,,
29,3549,,0.3123328983783722,,,,
29,3599,,0.30278852581977844,,,,
29,3599,,,0.48819440603256226,0.6185888648033142,0.651797890663147,0.42484050989151
29,3599,0.36197468638420105,,,,,
30,3649,,0.3584579825401306,,,,
30,3699,,0.3974897861480713,,,,
30,3719,,,0.47987622022628784,0.6272627711296082,0.6443437933921814,0.41517895460128784
30,3719,0.35235628485679626,,,,,
31,3749,,0.27286821603775024,,,,
31,3799,,0.23957976698875427,,,,
31,3839,,,0.4834248423576355,0.6252297759056091,0.6460986733436584,0.4174434542655945
31,3839,0.35495030879974365,,,,,
32,3849,,0.30930444598197937,,,,
32,3899,,0.22175665199756622,,,,
32,3949,,0.2637728154659271,,,,
32,3959,,,0.48356229066848755,0.6254785060882568,0.6458841562271118,0.4171663522720337
32,3959,0.35118159651756287,,,,,
33,3999,,0.30664342641830444,,,,
33,4049,,0.31489288806915283,,,,
33,4079,,,0.4846179485321045,0.6292937397956848,0.6425859332084656,0.41291671991348267
33,4079,0.3469289243221283,,,,,
34,4099,,0.2578360438346863,,,,
34,4149,,0.36746352910995483,,,,
34,4199,,0.3217593729496002,,,,
34,4199,,,0.47935929894447327,0.627701997756958,0.6439641118049622,0.4146897494792938
34,4199,0.3416621685028076,,,,,
35,4249,,0.3539068102836609,,,,
35,4299,,0.353048175573349,,,,
35,4319,,,0.5006307363510132,0.6064294576644897,0.6621060371398926,0.43838441371917725
35,4319,0.33659106492996216,,,,,
36,4349,,0.44153526425361633,,,,
36,4399,,0.4646505117416382,,,,
36,4439,,,0.47712865471839905,0.6296598315238953,0.6422685980796814,0.41250893473625183
36,4439,0.3332371711730957,,,,,
37,4449,,0.28507423400878906,,,,
37,4499,,0.3754538595676422,,,,
37,4549,,0.2951868772506714,,,,
37,4559,,,0.49851956963539124,0.6104394197463989,0.6587244272232056,0.43391790986061096
37,4559,0.3358933925628662,,,,,
38,4599,,0.3695734739303589,,,,
38,4649,,0.2807007133960724,,,,
38,4679,,,0.48339080810546875,0.628666877746582,0.6431289911270142,0.4136149287223816
38,4679,0.3272615671157837,,,,,
39,4699,,0.3899694085121155,,,,
39,4749,,0.3911736309528351,,,,
39,4799,,0.21564055979251862,,,,
39,4799,,,0.4765110909938812,0.6393438577651978,0.6338156461715698,0.4017222821712494
39,4799,0.32037031650543213,,,,,
40,4849,,0.2963563799858093,,,,
40,4899,,0.3561534583568573,,,,
40,4919,,,0.4711401164531708,0.6418042778968811,0.6316499710083008,0.39898166060447693
40,4919,0.3208597004413605,,,,,
41,4949,,0.31060394644737244,,,,
41,4999,,0.408689022064209,,,,
41,5039,,,0.47470349073410034,0.6382837891578674,0.6347464323043823,0.4029030203819275
41,5039,0.3161962926387787,,,,,
42,5049,,0.3035019636154175,,,,
42,5099,,0.30864837765693665,,,,
42,5149,,0.21306505799293518,,,,
42,5159,,,0.4726041257381439,0.6354374289512634,0.6372389197349548,0.4060734808444977
42,5159,0.31894055008888245,,,,,
43,5199,,0.3223443329334259,,,,
43,5249,,0.23719502985477448,,,,
43,5279,,,0.4764220118522644,0.6358999013900757,0.6368346214294434,0.405558317899704
43,5279,0.3172042965888977,,,,,
44,5299,,0.31959545612335205,,,,
44,5349,,0.34645283222198486,,,,
44,5399,,0.3591119349002838,,,,
44,5399,,,0.4827106297016144,0.6274832487106323,0.6441531777381897,0.41493335366249084
44,5399,0.3193659782409668,,,,,
45,5449,,0.27046242356300354,,,,
45,5499,,0.3264787793159485,,,,
45,5519,,,0.469560444355011,0.6462706327438354,0.627699613571167,0.39400678873062134
45,5519,0.3180665671825409,,,,,
46,5549,,0.3437376916408539,,,,
46,5599,,0.35453176498413086,,,,
46,5639,,,0.4696716368198395,0.6452611088752747,0.6285946369171143,0.3951312303543091
46,5639,0.31132450699806213,,,,,
47,5649,,0.24827703833580017,,,,
47,5699,,0.2455560863018036,,,,
47,5749,,0.39746585488319397,,,,
47,5759,,,0.47178125381469727,0.6441937685012817,0.6295395493507385,0.39632007479667664
47,5759,0.3099651038646698,,,,,
48,5799,,0.2547857463359833,,,,
48,5849,,0.3602776527404785,,,,
48,5879,,,0.47907212376594543,0.6261460185050964,0.6453083753585815,0.41642287373542786
48,5879,0.3125324547290802,,,,,
49,5899,,0.31665611267089844,,,,
49,5949,,0.2739701569080353,,,,
49,5999,,0.37764960527420044,,,,
49,5999,,,0.4687817096710205,0.6416118144989014,0.6318196654319763,0.3991960883140564
49,5999,0.30606594681739807,,,,,
